text,role
Python SQL Pandas NumPy Excel Data Visualization,Data Analyst
SQL Tableau Power BI Excel Reporting,Data Analyst
Pandas NumPy Statistics SQL Dashboard,Data Analyst
Excel SQL Power BI Data Cleaning,Data Analyst
Python Pandas Tableau Statistics,Data Analyst
Data Analysis SQL Excel Reporting,Data Analyst
Business Intelligence Tableau SQL Power BI,Data Analyst
Data Visualization Pandas Matplotlib SQL,Data Analyst
Analytics Excel SQL Dashboard Reporting,Data Analyst
Statistics Python Pandas Data Cleaning,Data Analyst
SQL Power BI Tableau Reporting Analytics,Data Analyst
Pandas NumPy Excel Data Analysis,Data Analyst

Spark Kafka Airflow ETL Hadoop,Data Engineer
Kafka Spark Data Pipeline Airflow,Data Engineer
ETL Spark SQL Hadoop Kafka,Data Engineer
Airflow Kafka Spark Data Warehousing,Data Engineer
Big Data Spark Hadoop ETL,Data Engineer
Kafka Streaming Spark Processing Airflow,Data Engineer
Data Engineering SQL Spark Airflow,Data Engineer
ETL Data Pipeline Kafka Hadoop,Data Engineer
Spark Kafka Airflow Data Lake,Data Engineer
Data Warehousing ETL SQL Spark,Data Engineer
Kafka Streaming Hadoop Spark,Data Engineer
Airflow ETL Data Engineering SQL,Data Engineer

TensorFlow Scikit-learn NLP Deep Learning,ML Engineer
Machine Learning TensorFlow Python NLP,ML Engineer
Scikit-learn Deep Learning Feature Engineering,ML Engineer
Neural Networks TensorFlow NLP Python,ML Engineer
Machine Learning Model Training Evaluation,ML Engineer
Deep Learning CNN RNN TensorFlow,ML Engineer
NLP Transformers Scikit-learn Python,ML Engineer
Feature Engineering Model Deployment ML,ML Engineer
TensorFlow PyTorch Machine Learning,ML Engineer
Computer Vision Deep Learning TensorFlow,ML Engineer
NLP Machine Learning Scikit-learn,ML Engineer
Model Training Feature Selection Python,ML Engineer

Python Django Flask REST API,Python Developer
Python OOP Django PostgreSQL,Python Developer
Flask FastAPI REST APIs Python,Python Developer
Python Backend Development Django,Python Developer
Object Oriented Programming Python Flask,Python Developer
Python APIs Microservices FastAPI,Python Developer
Django ORM PostgreSQL Python,Python Developer
Python Web Development REST APIs,Python Developer
FastAPI Docker Python Backend,Python Developer
Python Software Development OOP,Python Developer
Django Flask Backend Services Python,Python Developer
Python Unit Testing REST API,Python Developer
